Record ID,Agency Code,Agency Name,Agency Type,City,State,Year,Month,Incident,Crime Type,Crime Solved,Victim Sex,Victim Age,Victim Race,Victim Ethnicity,Perpetrator Sex,Perpetrator Age,Perpetrator Race,Perpetrator Ethnicity,Relationship,Weapon,Victim Count,Perpetrator Count,Record Source
292875,CA01925,Glendale,Municipal Police,Los Angeles,California,1994,November,1,Murder or Manslaughter,Yes,Female,37,White,Not Hispanic,Male,41,White,Not Hispanic,Wife,Handgun,0,0,FBI
542101,MOSPD00,St. Louis,Municipal Police,St. Louis city,Missouri,2008,October,7,Murder or Manslaughter,No,Female,41,White,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
484595,CA03300,Riverside,Sheriff,Riverside,California,2005,May,1,Murder or Manslaughter,Yes,Female,10,White,Not Hispanic,Male,44,White,Not Hispanic,Mother,Handgun,4,0,FBI
624273,AR06002,Little Rock,Municipal Police,Pulaski,Arkansas,2014,January,1,Murder or Manslaughter,Yes,Female,48,Black,Unknown,Male,21,Black,Unknown,Unknown,Handgun,0,0,FBI
137082,SC02300,Greenville,Sheriff,Greenville,South Carolina,1986,January,1,Murder or Manslaughter,Yes,Male,58,White,Not Hispanic,Male,13,White,Not Hispanic,Stepfather,Shotgun,0,0,FBI
31210,IN04505,Gary,Municipal Police,Lake,Indiana,1981,December,15,Murder or Manslaughter,Yes,Male,27,White,Not Hispanic,Male,14,Black,Not Hispanic,Stranger,Handgun,0,0,FBI
609463,VA00100,Accomack County,Sheriff,Accomack,Virginia,2013,February,1,Murder or Manslaughter,No,Male,53,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Firearm,0,0,FBI
395267,MI82349,Detroit,Municipal Police,Wayne,Michigan,1999,October,16,Murder or Manslaughter,Yes,Male,40,Black,Unknown,Male,23,Black,Unknown,Acquaintance,Firearm,0,0,FBI
394055,LANPD00,New Orleans,Municipal Police,Orleans,Louisiana,1999,December,9,Murder or Manslaughter,Yes,Female,25,Black,Unknown,Male,22,Black,Unknown,Acquaintance,Handgun,0,0,FBI
547482,TX23900,Washington,Sheriff,Washington,Texas,2008,February,1,Murder or Manslaughter,Yes,Female,40,Black,Unknown,Female,28,Black,Unknown,Boyfriend/Girlfriend,Handgun,0,0,FBI
114503,NY03030,New York,Municipal Police,New York,New York,1985,April,112,Murder or Manslaughter,Yes,Male,48,Black,Not Hispanic,Male,0,Unknown,Unknown,Common-Law Husband,Knife,0,0,FBI
362438,MD01604,Montgomery County,County Police,Montgomery,Maryland,1997,January,2,Murder or Manslaughter,No,Male,35,Asian/Pacific Islander,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,1,0,FBI
508025,MI82349,Detroit,Municipal Police,Wayne,Michigan,2006,November,11,Murder or Manslaughter,Yes,Male,30,Black,Unknown,Male,0,Black,Unknown,Unknown,Handgun,0,1,FBI
23538,AL04800,Marengo,Sheriff,Marengo,Alabama,1981,May,1,Murder or Manslaughter,Yes,Male,38,Black,Not Hispanic,Female,20,Black,Not Hispanic,Family,Shotgun,0,0,FBI
